Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-02-17,2016,2,17,Wednesday,07,2016-07,93.67,96.44,93.56,95.5,12610000,90.1,0.027876194234599305,87.95857142857143,90.21806451612902
2016-02-18,2016,2,18,Thursday,07,2016-07,96.34,96.45,94.45,95.17,8773900,89.79,-0.0034552889588592706,88.06928571428571,90.2046875
2016-02-19,2016,2,19,Friday,07,2016-07,95.23,95.72,94.56,95.01,6838200,89.64,-0.0016813346195779788,88.015,90.18757575757576
2016-02-22,2016,2,22,Monday,08,2016-08,95.01,97.0,95.01,96.37,6980400,90.92,0.014314349331508547,88.09714285714286,90.20911764705883
2016-02-23,2016,2,23,Tuesday,08,2016-08,96.5,96.82,95.15,95.38,6253800,89.99,-0.010272956730698612,88.25,90.20285714285714
2016-02-24,2016,2,24,Wednesday,08,2016-08,94.65,95.75,93.23,95.43,6945600,90.03,0.000524308000767082,88.26928571428572,90.19805555555556
2016-02-25,2016,2,25,Thursday,08,2016-08,95.92,95.95,94.35,95.65,4562300,90.24,0.002305271737168546,88.2842857142857,90.19918918918918
2016-02-26,2016,2,26,Friday,08,2016-08,95.71,96.22,95.28,95.31,5277000,89.92,-0.0035547906650517103,88.37928571428571,90.19184210526316
2016-02-29,2016,2,29,Monday,09,2016-09,95.31,96.29,95.23,95.52,7794400,90.12,0.002203473699500913,88.60857142857142,90.19
2016-03-01,2016,3,1,Tuesday,09,2016-09,95.9,97.66,95.53,97.65,7139900,92.13,0.022299026084359186,88.96785714285714,90.2385
2016-03-02,2016,3,2,Wednesday,09,2016-09,97.67,97.83,96.41,97.0,6498600,91.51,-0.006656480584333324,89.51714285714286,90.26951219512196
2016-03-03,2016,3,3,Thursday,09,2016-09,97.79,98.84,96.89,98.82,8581300,93.23,0.018763024783573057,90.09071428571428,90.34
2016-03-04,2016,3,4,Friday,09,2016-09,99.0,99.21,97.9,98.48,6739800,92.91,-0.0034406760991955165,90.58500000000001,90.39976744186046
2016-03-07,2016,3,7,Monday,10,2016-10,98.57,99.71,98.48,99.39,7218700,93.77,0.00924048137217337,91.02142857142857,90.47636363636364
2016-03-08,2016,3,8,Tuesday,10,2016-10,98.93,98.98,97.6,97.82,6229300,92.29,-0.01579647054908495,91.17785714285715,90.51666666666667
2016-03-09,2016,3,9,Wednesday,10,2016-10,98.0,98.24,96.81,97.66,7010700,92.14,-0.001635621276915522,91.3457142857143,90.55195652173914
2016-03-10,2016,3,10,Thursday,10,2016-10,97.94,98.42,95.87,97.04,5453500,91.55,-0.006348592013471377,91.48214285714286,90.57319148936169
2016-03-11,2016,3,11,Friday,10,2016-10,97.57,98.35,97.54,97.94,5605800,92.4,0.00927460279351422,91.58785714285715,90.61125
2016-03-14,2016,3,14,Monday,11,2016-11,97.94,99.22,97.84,98.81,6175000,93.22,0.00888296340871042,91.81857142857143,90.66448979591837
2016-03-15,2016,3,15,Tuesday,11,2016-11,98.02,98.33,97.39,98.24,5942400,92.68,-0.005768678024517082,92.00785714285715,90.70479999999999
2016-03-16,2016,3,16,Wednesday,11,2016-11,98.16,99.08,97.47,98.44,6079400,92.87,0.0020359297604644055,92.19571428571429,90.619
2016-03-17,2016,3,17,Thursday,11,2016-11,98.28,99.91,98.28,99.6,6385600,93.97,0.011783710346947585,92.485,90.59459999999999
2016-03-18,2016,3,18,Friday,11,2016-11,99.98,100.15,98.96,99.2,10205100,93.59,-0.004016097516537642,92.73285714285714,90.5728
2016-03-21,2016,3,21,Monday,12,2016-12,98.92,99.12,97.7,98.46,7070300,92.89,-0.007459462279601259,92.78714285714285,90.55320000000002
2016-03-22,2016,3,22,Tuesday,12,2016-12,97.59,98.32,97.44,97.58,6475700,92.06,-0.008937646323980197,92.82642857142858,90.52159999999999
2016-03-23,2016,3,23,Wednesday,12,2016-12,97.72,97.85,96.75,96.83,5517700,91.35,-0.007686229270853717,92.69214285714285,90.4632
2016-03-24,2016,3,24,Thursday,12,2016-12,96.55,97.49,96.3,97.22,5577700,91.72,0.004027761051580647,92.60714285714286,90.3832
2016-03-28,2016,3,28,Monday,13,2016-13,97.5,98.46,97.45,98.09,5317100,92.54,0.00894883317642825,92.51928571428572,90.3758
2016-03-29,2016,3,29,Tuesday,13,2016-13,98.0,98.37,97.36,98.16,5170800,92.61,0.0007137021412713107,92.54214285714285,90.358
2016-03-30,2016,3,30,Wednesday,13,2016-13,98.9,99.09,98.35,98.91,5677500,93.32,0.007640484094771471,92.62642857142858,90.4526
2016-03-31,2016,3,31,Thursday,13,2016-13,99.01,100.37,99.01,99.31,7038800,93.69,0.004044113739472444,92.7792857142857,90.55320000000002
2016-04-01,2016,4,1,Friday,13,2016-13,98.8,99.34,98.58,99.07,5895500,93.47,-0.0024168251418866804,92.85571428571428,90.6764
2016-04-04,2016,4,4,Monday,14,2016-14,99.3,99.44,98.58,98.68,5334700,93.1,-0.0039364474135520355,92.84714285714287,90.76440000000001
2016-04-05,2016,4,5,Tuesday,14,2016-14,96.85,97.61,96.15,97.0,10818800,91.51,-0.0170248000662806,92.76357142857144,90.76620000000001
2016-04-06,2016,4,6,Wednesday,14,2016-14,96.96,97.63,96.83,97.48,6952400,91.97,0.0049484277553808464,92.69928571428572,90.80759999999998
